video_id,published_time,trending_date,channel_id,channel_title,video_title,category_id,thumbnail_link,view_count,like_count,dislike_count,favorite_count,comment_count,rating_disable,comment_disable,tags,description
"VpouAX1TbJY","2020-09-14T03:01:20Z","20.14.09","UC-kCNs2KVMx0WN-tfysYTIw","Leonardo","Live Cachaça Cabaré | Leonardo, Jorge e Mateus, Bruno e Marrone - Dia Nacional Da Cachaça","10","https://i.ytimg.com/vi/VpouAX1TbJY/default.jpg","1071175","41162","929","0","219","False","False","Leonardo|Live|Live sertaneja|Live Cachaça Cabaré|Cabaré|Jorge e Mateus|Bruno e Marrone|Dia nacional da cachaça|Dia internacional da cachaça|Cachaça Cabaré","Leonardo, Jorge & Mateus e Bruno & Marrone comemoram o Dia Nacional da Cachaça. Comemoração da #CachacaCabare e #DomTapparo

Use #LiveCachacaCabare

#Leonardo #BrunoEMarrone #JorgeEMateus

ESTA LIVE É DESTINADA A MAIORES DE 18 ANOS. BEBA COM MODERAÇÃO."
"EckR7ibGbGY","2020-09-13T15:00:01Z","20.14.09","UCJutCF01uLelBl0IMQGPXZA","CEROL","NOBRU FOI ATROPELADO AO VIVO - VLOG #03","24","https://i.ytimg.com/vi/EckR7ibGbGY/default.jpg","1679339","341947","3329","0","5924","False","False","Cerol|Cerolzera|Carol|FF|Free Fire|Freefire|Los Grandes|Maumau|Nobru|Nobruzera|Jefão","Artista: @ronahcarraro 
Produção: @nalata.art
Curador: @luancardoso

SE INSCREVA NO CANAL! RUMO A 5 MILHÕES!!!

QUER ME VER AO VIVO?
aqui: https://www.nimo.tv/CEROL 
tá sozinho? quer curtir uma livezinha? só vem

Meu instagram é @CEROLZERA 
NO INSTAGRAM EU MANDO SKINS GRÁTIS PARA TODOS VOCÊS ! CODIGUIN???

https://www.instagram.com/cerolzera/

CANAL DO WEEDZAO
https://www.youtube.com/channel/UCQ6xgkFcH9TThnRgKXAAN7Q


Contato Profissional 
cerolesports@gmail.com"
"U-bZuZb7SdU","2020-09-13T19:31:04Z","20.14.09","UCr4ARxgElIO21GWfIraZezg","Free Fire - Brasil","LBFF - Rodada 8 - Grupos A e C | Free Fire","20","https://i.ytimg.com/vi/U-bZuZb7SdU/default.jpg","2175847","219255","1786","0","625","False","False","free fire|free fire ao vivo|ao vivo|lbff ao vivo|lbff|free fire brasil|liga brasileira de free fire","Grupo A
Black Dragons
God Esports
Los Grandes
FURIA
Santos
SS Esports

Grupo B
paiN Gaming
Flamengo
LOUD
Kabum
Team Liquid
FEAR

Grupo C
Red Canids
INTZ
Vivo Keyd
Corinthians
NewxGaming
Cruzeiro

Siga as redes sociais de Garena Free Fire e fique por dentro de tudo!

Twitter - https://twitter.com/esportsfreefire
Instagram - https://www.instagram.com/esportsfreefire
Facebook - https://www.facebook.com/FreeFireEsportsBR
Discord - http://discord.gg/freefire



#LBFF #FreeFire"
"DEozYRApOJU","2020-09-13T20:00:01Z","20.14.09","UCA6S8QASQlEPoAAW7rodM1g","LOUD Babi","DEU TUDO ERRADO?! TENTEI FAZER UMA SURPRESA PARA MINHA FAMÍLIA!!","24","https://i.ytimg.com/vi/DEozYRApOJU/default.jpg","509803","186390","707","0","9575","False","False","Loud|babi|loud babi|surpresa","Se inscreva no canal: https://bit.ly/LOUDbabi
INSTAGRAM: https://www.instagram.com/loud_babi/

Se inscrevam no Canal e ativem o sininho para não perder as notificações de novos videos diarios.

Free Fire é um jogo com ótima qualidade FPS móbile em que no total de cinquenta jogadores que caem de paraquedas em uma ilha em busca de armas e equipamentos em tempo real a fim de matar os outros players. Os jogadores escolhem à vontade a posição inicial, pegam armas e suprimentos para aumentar o tempo de vida na batalha. Estarei dando dicas das melhores estratégias para sobrevivência e matar seus inimigos da melhor forma.

Contato comercial: agencia@loud.gg

#freefire #proplayer 

#loud
https://bit.ly/LOUDlzinn
https://bit.ly/LOUDjordan
https://bit.ly/LOUDcoringa
https://bit.ly/LOUDnoda
https://bit.ly/LOUDbak
https://bit.ly/LOUDlasers
https://bit.ly/GsLOUD
https://bit.ly/LOUDwill
https://bit.ly/LOUDleleo
https://bit.ly/LOUDshariin
https://bit.ly/LOUDthurzin
https://bit.ly/LOUDvinixz
https://bit.ly/LOUDmii
https://bit.ly/LOUDbradoock
https://bit.ly/LOUDvoltan
https://bit.ly/LOUDthaiga
http://bit.ly/LOUDbrabox
http://bit.ly/LOUDkroonos
https://bit.ly/mobLOUD"
"f81IeiIkhEc","2020-09-13T05:19:07Z","20.14.09","UCRRu9OXVYd5clj2Bs29gUVQ","Zé Neto e Cristiano","Zé Neto e Cristiano - LIVE RESGATANDO TRADIÇÕES","10","https://i.ytimg.com/vi/f81IeiIkhEc/default.jpg","2936667","136403","2439","0","412","False","False","ze neto e cristiano|workhow|workshow live|live|live sertanejo|Marília Mendonça|Zé Neto & Cristiano|Maiara & Maraísa|Diego & Victor Hugo|barzinho aleatório|bruno e marrone|live bruno e marrone","🔔 Ative  Definir lembrete  e seja avisado quando a LIVE for começar. Prepare-se para uma LIVE histórica com o melhor do MODÃO? Então preparem-se pra um dia inesquecível com a dupla mais amada do Brasil. Aproveite e deixe seu comentário dizendo as músicas que não podem faltar nesse dia. Mande suas mensagens pra gente nas redes sociais usando a hashtag #ZNCResgatandoTradicoes

- Este conteúdo é destinado a maiores de 18 anos."
"-UCDXvmgias","2020-09-13T21:32:49Z","20.14.09","UC4i_9WvfPRTuRWEaWyfKuFw","BT Sport","Carnage in Le Classique! Neymar amongst FIVE players sent off!","17","https://i.ytimg.com/vi/-UCDXvmgias/default.jpg","4310823","64697","2182","0","6554","False","False","neymar|Le Classique|psg|paris saint germain|marseille|ligue 1|scuffle|red cards|bt sport|bt sport official","PSG VS Marseille finishes 8v9 after the referee gives FIVE red cards, including one for Neymar, in the final few minutes! 

Neymar tells the fourth official there was a racist incident after receiving his marching orders...

Hit 'Subscribe' above to ensure you never miss a video from the BT Sport YouTube channel.

Visit and subscribe to our 'BT Sport Boxing' YouTube channel ➡️ http://www.youtube.com/c/btsportboxing

Twitter: http://twitter.com/btsport
Facebook: http://www.facebook.com/btsport
Instagram:http://instagram.com/btsport
Website: http://sport.bt.com"
"8rncKDu1-I4","2020-09-13T23:36:11Z","20.14.09","UC1yPoIdCtlTAb69Ho2vbLog","3o Tempo","NEYMAR É EXPULSO E DENUNCIA RACISMO EM JOGO DO PSG","17","https://i.ytimg.com/vi/8rncKDu1-I4/default.jpg","69821","3227","56","0","489","False","False","","O craque Neymar diz que o zagueiro espanhol Álvaro González dirigiu palavras racistas durante uma discussão do campeonato espanhol. A arbitragem nada fez. 

INSCREVA-SE NO CANAL E NÃO PERCA NENHUM LANCE DO 3ºTEMPO! 

Siga o 3º Tempo nas redes sociais: 
Instagram: https://www.instagram.com/band3tempo/
Twitter: https://twitter.com/band3tempo/
Facebook: https://www.facebook.com/band3tempo"
"r9D-XvPxk1Y","2020-09-13T23:53:59Z","20.14.09","UCZShhGzxHVd1xgiBhDDpYYA","Rádio Craque Neto","REAÇÕES DO CRAQUE NETO EM FLUMINENSE 2X1 CORINTHIANS NO BRASILEIRÃO.","17","https://i.ytimg.com/vi/r9D-XvPxk1Y/default.jpg","124456","5541","199","0","585","False","False","radio|craque|neto|sidnei|fraioli|josé|ferreira|corinthians|são paulo|palmeiras|santos|ao vivo|web|online|campeonato|copa|brasileiro|libertadores|flu|fluminense|nene|2x1|timao|maracana|vital|mateus|gols|lances|melhores|momentos|narracao","Baixe o novo OneFootball: http://tinyurl.com/yxuc4hls

Assim que o Craque Neto reagiu aos principais lances entre Fluminense x Corinthians pelo Brasileirão 2020. E você, torcedor, o que achou desse jogo?

Deixe seu like! Mande sua mensagem!
Inscreva-se: https://www.youtube.com/user/radiocraqueneto?sub_confirmation=1
Doe/Ajude o canal: https://streamlabs.com/radiocraqueneto/tip

Twitter: http://www.twitter.com/radiocraqueneto
Instagram: http://www.instagram.com/radiocraqueneto
Facebook: http://www.facebook.com/radiocraqueneto

Contato: radiocraqueneto@gmail.com
_____________________________________________

LL SPORTS - Camisas e agasalhos de seleções e times internacionais e nacionais: https://www.instagram.com/llsports13/
Mega Loja Parque São Jorge: https://www.instagram.com/megalojaparquesaojorge/ | WhatsApp: (11) 99745-0484.
Barbosa Supermercados: http://www.barbosasupermercados.com.br/
AUTO SHOPPING GLOBAL - Um mundo de veículos para você: https://autoshoppingglobal.com.br/
Construtora Ideal - Construção, incorporação e vendas imobiliárias: https://construtoraideal.com.br/
Salgadinhos Torcida: https://www.facebook.com/salgadinhotorcida - http://www.pepsico.com.br/
Linconl Equipment - Copiadoras, maquinas de fax, e impressoras: https://www.lincolnalltoprint.com/
Bolas Euro Sports: https://www.eurosports.com.br/
CIVILTEC ENGENHARIA - Cursos: https://civiltec-cursos.com.br/ | (11) 94701-5398
Grupo Souza Lima - Segurança Patrimonial, Serviços de Portaria e Limpeza: https://gruposouzalima.com/
Grupo Viamar - Concessionária de Veículos: http://www.viamar.com.br
PowerNet UPS: https://www.powernetups.com.br/
Super Pizza Pan - Peça pelo aplicativo! https://superpizzapan.com.br/
A Casa da Pizza Estufada: http://www.acasadapizzaestufada.com.br/ LIGUE: (11) 2659-5944
Elite Flores: http://instagram.com/eliteflores
Portal do Padeiro: https://www.facebook.com/portaldopadeiro/
Consultório Barrelo - Odonto e Estética: https://www.instagram.com/drakarinabarrelo/ | https://linktr.ee/barrelo.odontoeestetica

#Fluminense #Corinthians #Brasileirao"
"DbX2SRkZ2kU","2020-09-13T23:02:54Z","20.14.09","UCgCKagVhzGnZcuP9bSMgMCg","ge","CEARÁ 2 X 0 FLAMENGO | MELHORES MOMENTOS | 10ª RODADA BRASILEIRÃO 2020 | ge.globo","17","https://i.ytimg.com/vi/DbX2SRkZ2kU/default.jpg","516645","15167","653","0","2495","False","False","esporte|esportes|ge|ge.globo|globo esporte|globo|globoesporte.com|sportv","Deu Vozão! Ceará vence com dois gols em seis minutos e interrompe série de vitórias do Flamengo.Depois de um primeiro tempo com domínio rubro-negro, Vozão mata o jogo no início do segundo tempo com gols de Luiz Otávio e Charles e volta a vencer depois de duas rodadas. 

Confira todos os Melhores Momentos com mais replays em ge.globo: https://globoesporte.globo.com/ce/futebol/brasileirao-serie-a/jogo/13-09-2020/ceara-flamengo.ghtml 


✅ INSCREVA-SE NO CANAL GE: 

👍 Curtiu o vídeo? Deixe seu like e comente o que achou das atuações no jogo. 

🌟 Playlists Mais Assistidas 

🌟 ► Melhores Momentos - 10ª Rodada do Brasileirão: https://www.youtube.com/playlist?list... 

► Melhores Momentos - 9ª Rodada do Brasileirão: https://www.youtube.com/watch?v=GELMc... 

► Melhores Momentos do Brasileirão: https://www.youtube.com/playlist?list... 

► Bola Quadrada: https://www.youtube.com/watch?v=paEYn... 

►Humor no GE: https://www.youtube.com/watch?v=CNP5m... ______________________________________ 

No canal ge você encontra os melhores momentos do Brasileirão, games sobre futebol e muito conteúdo divertido sobre o esporte no Brasil e no mundo.
 ______________________________________

#Ceara #Flamengo #Brasileirao"
"FqL3pDMjUxA","2020-09-13T06:13:14Z","20.14.09","UCw4YGFtvDgOL09KrFpqj6kg","A Fazenda","Jojo Todynho e MC Mirella discutem na sala I A Fazenda 12","24","https://i.ytimg.com/vi/FqL3pDMjUxA/default.jpg","1647916","67642","1109","0","8295","False","False","acelere|aclr|a fazenda|fazenda talks|marcos mion|rodrigo carelli|multiplataforma|reality show|record tv|peões|roça|prova do fazendeiro|poder da chama|prova de fogo|Biel|Carol Narizinho|Cartolouco|Fernandinho Beatbox|Jakeyne Oliveira|Jojo Todynho|JP Gadêlha|Juliano Ceglia|Lidi Lisboa|Lipe Ribeiro|Lucas|Maciel|Luiza Ambiel|Mariano|Mateus Carrieri|MC Mirella|Raissa Barbosa|Rodrigo Moraes|Stéfani Bays|Tays Reis|Victória Villarim","Os peões, reunidos na sala, começaram a repensar ações para evitar que não fiquem pessoas sem fazer nada na sede. Com isso, Jojo Todynho relembrou uma cena que presenciou da peoa MC Mirella.

Assine o PlayPlus e tenha acesso à transmissão 24 horas de A Fazenda 12

Inscreva-se no canal A Fazenda: http://r7.com/8IZb 
Site oficial: https://afazenda.r7.com/a-fazenda-12
Assista às íntegras no PlayPlus: https://www.playplus.com
Facebook: https://www.facebook.com/AFazendaRecord
Instagram: https://www.instagram.com/afazendarecord
Twitter: https://twitter.com/afazendarecord



#AFazenda12 #jojotodynho #mcmirella  #r7 #playplus"
