video_id,published_time,trending_date,channel_id,channel_title,video_title,category_id,thumbnail_link,view_count,like_count,dislike_count,favorite_count,comment_count,rating_disable,comment_disable,tags,description
"XnNzjoFznIo","2020-09-14T00:10:58Z","20.14.09","UCQsH5XtIc9hONE1BQjucM0g","Ligue 1 Uber Eats","PARIS SAINT-GERMAIN - OLYMPIQUE DE MARSEILLE(0 - 1 ) - Résumé - (PARIS SG - OM) / 2020/2021","17","https://i.ytimg.com/vi/XnNzjoFznIo/default.jpg","1135292","22029","1317","0","2456","False","False","PARIS SG OM|Paris Marseille|Résumé PARIS SAINT-GERMAIN OLYMPIQUE DE MARSEILLE|Résumé PARIS SG OM|PARIS SAINT-GERMAIN|Paris|OLYMPIQUE DE MARSEILLE|Marseille|résumé|buts|but|résumé Ligue 1 Uber Eats|ligue 1|ligue 1 uber eats|L1|championnat|journée|football|foot|match|France|sp:ty=high|sp:dt=2020-09-13T21:00:00Z|sp:vl=fr|sp:st=soccer|sp:li=france|sp:ti:home=PARIS SG|sp:ti:away=OM","Revivez les meilleurs moments de PARIS SAINT-GERMAIN - OLYMPIQUE DE MARSEILLE (0-1) en vidéo. 

Ligue 1 Uber Eats - Saison 2020/2021 - 3ème journée PARC DES PRINCES - Dimanche 13 Septembre 2020

Buteurs : Florian THAUVIN (31' - OLYMPIQUE DE MARSEILLE) 

Cartons rouges/exclusions : Layvin KURZAWA (90' +7) /Leandro Daniel PAREDES (90' +7) /Neymar DA SILVA SANTOS JUNIOR (90' +9) /Dario Ismaël BENEDETTO (90' +7) /Jordan AMAVI (90' +7) 

Composition PARIS SAINT-GERMAIN : 27 - Idrissa GUEYE /3 - Presnel KIMPEMBE (c) /6 - Marco VERRATTI /11 - Angel DI MARIA /10 -  NEYMAR JR /4 - Thilo KEHRER /14 - Juan BERNAT /19 - Pablo SARABIA /21 - Ander HERRERA /16 - Sergio RICO /24 - Alessandro FLORENZI 

Composition OLYMPIQUE DE MARSEILLE : 27 - Idrissa GUEYE /3 - Presnel KIMPEMBE (c) /6 - Marco VERRATTI /11 - Angel DI MARIA /10 -  NEYMAR JR /4 - Thilo KEHRER /14 - Juan BERNAT /19 - Pablo SARABIA /21 - Ander HERRERA /16 - Sergio RICO /24 - Alessandro FLORENZI 

Abonnez-vous à la chaîne YoutubeSubscribe : https://www.youtube.com/subscription_center?add_user=ligue1fr
Suivez nous sur Instagram : https://instagram.com/ligue1ubereats/ 
Suivez nous sur Twitter : https://twitter.com/Ligue1UberEats
Suivez nous sur Facebook : https://fb.com/Ligue1UberEats
Suivez nous sur Ligue1.fr : https://www.ligue1.fr
 "
"oPYPuvTA2LQ","2020-09-13T08:00:00Z","20.14.09","UCDPK_MTu3uTUFJXRVcTJcEw","Mcfly et Carlito","L’épreuve des poteaux entre potos","24","https://i.ytimg.com/vi/oPYPuvTA2LQ/default.jpg","2935739","338091","3008","0","9251","False","False","mcfly|carlito|golden moustache|fatshow|badass|dab|Koh lanta|Denis Brogniart|Claude|Concours|Anecdotes|Épreuve|Épreuves","On a refait et pimpé cette épreuve culte de Koh Lanta avec une dream team : Freddy Gladieux, Djilsi, Jérémie Déthelot, Léna ainsi que Denis Brogniart et le S : Claude.

Merci à Rinoshield ! 20% de réduction pendant 48h avec le code SOUPEAUXVERMICELLES ici : http://bit.ly/Mcfly-Carlito

Foncez sur leur site les coques sont chanmées et 48h ça passe viiiitttteee

Merci à tout le monde de nous avoir permis de faire cette vidéo, c’était incroyable !

N’oubliez pas que le J c’est le S.

Freddy sur Insta : https://www.instagram.com/freddygladieux/?hl=fr
Djilsi sur Insta : https://www.instagram.com/djilsi/?hl=fr
Et Djilsi aussi sur YouTube :

https://www.youtube.com/c/DJILSI

Lena sur Youtube : https://www.youtube.com/channel/UCDkl5M0WVaddTWE4rr2cSeA
Jeremie sur Youtube : https://www.youtube.com/channel/UCsoF3_IdVLe-cUky4dWw_rQ

INSTAGRAM
★ https://www.instagram.com/rafcarlito
★ https://www.instagram.com/levraimcfly

FACEBOOK 
►https://facebook.com/raphaelcarlierakacarlito
►https://www.facebook.com/mcflyofficiel

TWITTER 
✔ https://twitter.com/levraimcfly
✔ https://twitter.com/raphael_carlier

TIKTOK
@carlitopourdevrai
@mcflytiktok

Grosse pensée pour les proches de Bertrand Kamal, la vidéo a été tournée bien avant cette triste nouvelle. 

Chef de projet - Aurélien Le Draoullec

Equipe technique : 
Réalisateur / Chef OPV - Florent Sabatier
OPV - Maxime Gaudet, Emmanuel Guimier, Maxime Pareydt 
Chef OPS - Martin Bonami
Cheffes déco - Kim Adionadis, Lisa Rodriguez (Les PAM’S) 
Assistants déco - Arnaud Bontemps, François Diard, Anouk Barranger
Drone - Kevin Calvez (Blackbird Production) 
Régisseur général - Jean-Marie Le Bihan
Sécurité - Sentinelle Agency
Monteurs - Jérôme Fillette, Florian Hautekiet, Arthur Laloux
Etalonneur - Jean-Ousmane Mbaye
Mixeur - Martin Bonami 
Vignette - Mood maker - Antoine Behaeghel

Equipe de production :
Producteurs - Julien Allard, Anne Duval
Directrice de production - Camille Selosse
Chargée de production - Blanche Martin 
Assistante de production - Valentine Atanazio
Stagiaire de production - Serena San Vincente
Administrateurs de production - Alexandre Taton & Odile Rouyer
Assistant administrateur de production - Benjamin Louchart

Remerciements :
Rhinoshield, L'île de Loisirs de Jablines-Annet, 20000 lieux, Taxi Moto Line, PlaniPresse, Thomann. 

Est-ce normal d'avoir 34 ans et d'aimer Miraculous ? Dites moi que je ne suis pas le seul, dîtes moi que vous chantez le générique à tue-tête sous votre douche et que vous aussi vous avez acheté un legging coccinelle pour dormir... (Mcfly)

Mec tu fais ce que tu veux en vrai. Personne va te juger. À part peut être Gervais, le gars costaud qu’on avait en seconde tu sais ? Lui il jugeait vachement. Du coup là pour Miraculous à mon avis il va te juger ça va pas être joli joli. Tu veux que je lui demande ce qu’il en pense ? (Carlito)

Oui ok... (Mcfly)

Ok je re (Carlito)

...

Bon. C’était hyper bizarre. Il adore Miraculous. Il veut faire une soirée pyjama avec toi. Je te préviens il est immense on dirait The Rock mais de Roubaix. Je vous laisse faire vos bails mais sache que je valide pas. (Carlito)"
"IFcxEfRO3n4","2020-09-13T09:15:00Z","20.14.09","UCo3i0nUzZjjLuM7VjAVz4zA","Michou","Michou - FIER (Clip Officiel)","10","https://i.ytimg.com/vi/IFcxEfRO3n4/default.jpg","3186537","478184","19228","0","85332","False","False","michou|michou fier|michou clip|clip|musique|michou musique|fier michou|michou dans le club|fier","Le son est dispo partout, sur Spotify, Deezer, Apple Music etc ... go stream ça en balle 🔥

https://michou.backl.ink/fier

Deuxième Clip, j'voulais vous surprendre une nouvelle fois 🥰
Encore merci pour tout, vous avez changé ma vie
GROSSE SURPRISE : Live pour mon Anniversaire le 02 Octobre 2020 !"
"IEo26eO7Ax8","2020-09-13T08:00:02Z","20.14.09","UCeqsLJGWhZXEerY5JWvwLkg","Le Monde à L'Envers","Extrême Relooking - Le Monde à L'Envers","23","https://i.ytimg.com/vi/IEo26eO7Ax8/default.jpg","730071","94323","1194","0","3778","False","False","le monde a l'envers|monde a lenvers|parodie|jean|jenny|letellier|bd|cristina|cordonbleu|chirurgie|coiffeur|look|shopping|beauté|maquillage|mode","NOTRE BD : https://livre.fnac.com/a14074180/Le-Monde-a-l-envers-Tome-1-Le-Monde-a-l-envers-Romain-Pujol

🌅 INSTAGRAM VAL : https://www.instagram.com/valentin_jean/?hl=fr
🌅 INSTAGRAM JEN : https://www.instagram.com/jenny_letellier/?hl=fr
📱TIKTOK : https://www.tiktok.com/@lemondealenversvideo?lang=fr
🐦 TWITTER : https://twitter.com/LMLEvideo 
👻 SNAPCHAT JEN : groscroutard
👻 SNAPCHAT VAL : valentin_jean
🎬 FACEBOOK : https://www.facebook.com/lemondealenversvideo

Avec
Valentin Jean
Jenny Letellier
Lucas Pastor
Timothée Hochet

Écriture
Jenny Letellier

Chef Opérateur 
Xavier Cordonnier

Ingénieur Son
Mathieu Barbier

Chef Électricien
Arthur Barrow

Maquillage
Adrien Giffard
Mégane Brugiere

Régie Plateau
Julien Meunier

Montage
Nicolas Jean
Valentin Jean

Musiques
Epidemic Sound
The morning light / One of a kind / She will never know / Mixed emotions / Harry's dream / Ten feet / I'm out of my mind / It's you and me / What we didn't know / Migrano / Bubble bee / Protocol / The little horseman / The coldest winter / Pa na ma / By daylight / Too late / From the past / French kisses (générique de fin)

Musique de l'opération : https://www.youtube.com/watch?v=VWNGkXMZ4_k


On est enfin de retour sur YouTube les potes ! 

Pour cette rentrée, nous sommes actuellement 3 426 700. C'est fou. Merci.

Vos retours sur la BD sont incroyables. 

Si tu as lu cette description, commente  Caroline le thon "
"lEI3oKPef1g","2020-09-13T10:00:09Z","20.14.09","UCSse-lNI1DQ4w-8lh7vfPUw","Lolywood","Au Tako (Parodie PNL - Au DD)","23","https://i.ytimg.com/vi/lEI3oKPef1g/default.jpg","468683","64070","2569","0","2167","False","False","lolywood|lollywood|loliwood|prime|tmc|Lolywood night|au tako|au dd|pnl|parodie|clip|ugo|choopa|manu|tour eiffel|ademo|n.o.s|sketch|inédit|musique","On reprend  Au DD  de PNL pour raconter notre amour pour le bon gros tacos des familles ! 🌯 RDV ce mardi 15 septembre à 21h15 sur TMC pour découvrir d'autres clips inédits lors de notre #LolywoodNight 📺

En attendant cette grande soirée sur TMC, ne manque rien de nos actus :
Abonne-toi ici l’ami : https://www.youtube.com/c/lolywood
Mater nos photos : https://instagram.com/lolywoodoff/
TikToker avec nous : https://www.tiktok.com/@lolywoodoff
Un petit like aussi ? : https://www.facebook.com/Lolywood
Tu peux aussi nous suivre : https://twitter.com/Lolywood

Interprété par :
Ugo Marchand, Charles Falque-Pierrotin et Emmanuel Gandon

Écrit par :
Emmanuel Gandon, Ugo Marchand, Charles Falque-Pierrotin, Arnaud Boivin et Raphael Samzun

Réalisé par Matthieu Mares-Savelli
Assistant réalisateur : Stéphanie Mares-Savelli
Chef Opérateur : Adrien Benoliel
Directrices de Production : Myrina Mané et Margaux Lleu
Chargée de Production : Alix Arnal
Directeur de Post-Production : Thibaut Mentil 
Montage : Eliott Doyle
Chef opérateur son : William Samzun
Mixage son : Point 12, Swann Chevalier
Musique Originale : William Samzun et Emmanuel Combelles

Créé et produit par Des Mecs Sérieux
Merci à nos amis chez Agogogang pour les vêtements ! 
Retrouvez les ici https://agogogang.fr/ ou directement en boutique : 
6 rue du Trésor 75004 Paris
https://www.instagram.com/agogogang/"
"si8j9_uduPE","2020-09-13T15:44:46Z","20.14.09","UCCelP6iJfYoj0Ea3qXqugXQ","Mike Horn","QUI EST LE PIRE SURVIVANT ? (Svalbard, l’aventure complète ft. Amixem, CyrilMP4 & Le Grand JD)","24","https://i.ytimg.com/vi/si8j9_uduPE/default.jpg","326650","36095","137","0","1388","False","False","mike horn|exploration|aventurier|aventure|expédition|explorateur|voyage|youtubers|amixem|cyrilmp4|grand jd|svalbard|découverte","Voici le dernier épisode de la série  A la découverte du Svalbard  avec Amixem, Le Grand JD et CyrilMP4 ! Je vous donne mon point de vue sur leur expédition dans cette vidéo qui récapitule la semaine.

VIDEO D'AMIXEM : https://youtu.be/-BGq9_roUhY
VIDEO DU GRANDJD : https://youtu.be/mWRLEmjDnXY
VIDEO DE CYRILMP4 : https://youtu.be/mOQ280oc1fQ
VIDEO D'ANTOINE : https://youtu.be/wp_dEVN_YTM

🧙‍♂️ https://www.instagram.com/mikehornexplorer
🎥 https://www.instagram.com/etienneclaret
💁‍♀️ https://www.instagram.com/jessicaahorn
🙋‍♀️ https://www.instagram.com/annikahorn

Nouveaux t-shirts, sweats et casquettes #DARE2DREAMBIG disponibles dès maintenant sur le Mike Horn shop en ligne : https://www.mikehorn.com/shop/ !
Facebook : https://facebook.com/PangaeaMikeHorn
Twitter : https://twitter.com/exploremikehorn

Business enquiries : business@mikehorn.com

Produced by Mike Horn, Etienne Claret, Annika Horn & Jessica Horn"
"zbbKsPslv9s","2020-09-13T08:15:02Z","20.14.09","UCzjd9v6DMprAAvOBB4sxBPA","LE GRAND JD","Cette application est dangereuse et inexplicable (Randonautica)","24","https://i.ytimg.com/vi/zbbKsPslv9s/default.jpg","422619","50132","853","0","1859","False","False","LE|GRAND|JD|LEGRANDJD|LGJD|legrandjd|cette application est étrange|randonautica|mystère|rando|étrange","Pour jouer et surtout découvrir cette fusion entre Street Fighters V et the Summoner’s War! 
c'est ici http://letsplaysw.com/jd 

Je te rapelle que KEN est gratos! 
Si tu veux des news du jeu @Summoners War Europe sur YouTube


➜Instagram : https://www.instagram.com/legrandjd
➜Facebook: http://www.facebook.com/legrandjd
➜Twitter : http://www.twitter.com/legrandjd"
"btWZ4xC3Bag","2020-09-13T10:00:27Z","20.14.09","UCobKE2pCskZnatGHG50PH2w","Pidi","Marque VS sous-marque avec @LeBouseuh et Apolline 🤤","24","https://i.ytimg.com/vi/btWZ4xC3Bag/default.jpg","483191","52344","542","0","1484","False","False","marque|vs|sous-marque|dégustation|challenge|lebouseuh|bousi|Pidi|apo|doz jazy|jeu|local|dégustation à l'aveugle|nutella vs pate à tartiner|délires|IRL|rires|drôles|valouzz|pidi|dozo family|local lebouseuh|VS challenge des marques","Viens t'abonner à ma chaine Youtube: https://www.youtube.com/channel/UCobKE2pCskZnatGHG50PH2w

On test les marques VS sous-marques avec Lebouseuh et Apolline au local, et nous avons été très surpris !!

Viens me dire dans les commentaires c'est quoi ton péché mignon ! 😍

N'hésite pas à me suivre sur les réseaux:

► Insta : https://www.instagram.com/pidi_meg/
► Twitter : https://twitter.com/pidi_meg

--------------------------------------------------------------------
Contact :  pidimeg.yt@gmail.com"
"c0UZ31aNKsA","2020-09-13T22:24:05Z","20.14.09","UC8AS0FcffkkZzh3t964yi2w","Bengous Oueskon Va","PSG 0-1 OM 9ans qu’ont attendait ça : Le debrief de bengous","23","https://i.ytimg.com/vi/c0UZ31aNKsA/default.jpg","71961","5333","236","0","512","False","False","bengous|PSG vs OM|psg|paris saint germain|olympique de marseille|football|ligue uber eat|ligue 1|thauvin|neymar|sakai|resumer|allez L'OM","Facebook : http://bit.ly/BengousFacebook
Twitter : http://bit.ly/BengousTwitter
Instagram : http://bit.ly/BengousInstagram
Snapchat : Bengous"
"qc7JOVaQ4o8","2020-09-13T12:00:10Z","20.14.09","UC_3PmpXhpgfBXuFHWaTrTfA","Nino Arial","LA RENTRÉE AVEC LA COVID ... QUAND T'ES CON - NINO ARIAL (Feat Hector DNL, Sasha Smile, Safir...)","23","https://i.ytimg.com/vi/qc7JOVaQ4o8/default.jpg","134959","15876","159","0","199","False","False","nino|arial|vidéo|original|marrant|stand|up|humour|podcast|drôle|sexy|style|youtubeur|sketch|humoriste|tatouage","LA RENTRÉE EN MODE COVID .... C'EST RELOU DE OUF !!!!! MAIS C'EST MARRANT !!!

Suivez-moi sur :
Instagram : https://www.instagram.com/ninoarial/?...
Facebook : https://www.facebook.com/ninoarialoff/

Et merci aux invités d'aujourd'hui :

Hector Dnl : https://www.instagram.com/hectordnl/?hl=fr
Armand (Lord) : https://www.instagram.com/armand.tv/?hl=fr
Sacha Smiles : https://www.instagram.com/sacha_smiles/?hl=fr
Claire : https://www.instagram.com/fitclaire/?hl=fr
Safir : https://instagram.com/safirrae?igshid=1fa0jjag8ir5i
Ainsi qu'aux autres : Mathilde, Sarah, Melissa et Mégane !

Co-réalisation, cadre et montage : 
Clément Dugoujon : https://www.instagram.com/clementdugo..."
