video_id,published_time,trending_date,channel_id,channel_title,video_title,category_id,thumbnail_link,view_count,like_count,dislike_count,favorite_count,comment_count,rating_disable,comment_disable,tags,description
"QGfZJPeU5to","2020-09-11T11:02:51Z","20.14.09","UCD-aXv7CMezGSTfxmKAD6Ag","iPantellas","PALESTRA - RAGAZZI VS RAGAZZE 🏋🏼 - iPantellas w/Denis Dosio","24","https://i.ytimg.com/vi/QGfZJPeU5to/default.jpg","2006376","167080","5688","0","4359","False","False","ipantellas|parodia|video divertenti|palestra|esercizi|bodybuilding|squat|sport|Denis Dosio","★25O.OOO LIKE PER UN NUOVO VIDEO CON ESMERALDA E DENIS★
ASCOLTA LA NOSTRA NUOVA CANZONE DIVANO MARITTIMA! 
https://sptfy.com/dpfO
➜ ISCRIVITI AL NOSTRO CANALE http://www.youtube.com/subscription_center?add_user=iPantellas
➜ INSTAGRAM https://www.instagram.com/ipantellas/
➜ TIK TOK - https://www.tiktok.com/ipantellas

RINGRAZIAMO 
DENIS DOSIO https://www.instagram.com/denisdosio/
ESMERALDA MORICHELLI https://www.instagram.com/morichels/

iPantellas tornano con un nuovo video in palestra! Maschi vs femmine! Chi vincerà? Vedremo grandi sfide tra bilancieri, panca, squat, pesi, esercizi fai da te. Bodybuilding o naturale? Muscolosi o flaccidi? Palestra in casa o fuori? Scopri la nuova parodia!"
"-UCDXvmgias","2020-09-13T21:32:49Z","20.14.09","UC4i_9WvfPRTuRWEaWyfKuFw","BT Sport","Carnage in Le Classique! Neymar amongst FIVE players sent off!","17","https://i.ytimg.com/vi/-UCDXvmgias/default.jpg","4310823","64702","2182","0","6556","False","False","neymar|Le Classique|psg|paris saint germain|marseille|ligue 1|scuffle|red cards|bt sport|bt sport official","PSG VS Marseille finishes 8v9 after the referee gives FIVE red cards, including one for Neymar, in the final few minutes! 

Neymar tells the fourth official there was a racist incident after receiving his marching orders...

Hit 'Subscribe' above to ensure you never miss a video from the BT Sport YouTube channel.

Visit and subscribe to our 'BT Sport Boxing' YouTube channel ➡️ http://www.youtube.com/c/btsportboxing

Twitter: http://twitter.com/btsport
Facebook: http://www.facebook.com/btsport
Instagram:http://instagram.com/btsport
Website: http://sport.bt.com"
"CF2oceUUqc4","2020-09-10T17:27:12Z","20.14.09","UCz-KJn98sMCPW5kjG0ZnE-Q","Jakidale","da Milano a Roma in MONOPATTINO","22","https://i.ytimg.com/vi/CF2oceUUqc4/default.jpg","2260825","171496","2289","0","8246","False","False","jakidale|jaki|vlog|mobile|tecnologia|tech|dailyvlog|daily vlog|daily vlog ita|dale|Jacopo D'Alesio|monopattino|milano|roma|milano roma|in monopattino|monopattino elettrico|bici|bicicletta|skateboard|luis|luis sal|bologna|firenze|giro d'italia|italia|colosseo|xiaomi|space valley|marcello ascani|bottura|modena|monopattino sharing|monopattini|monopattini elettrici|viaggio|viaggio in monopattino|travel|bikebacking|bike|mattia|miraglio|giro del mondo|mattia miraglio","11 Giorni, 646,10 chilometri. Milano-Roma in monopattino elettrico, video online sul mio canale YouTube. Avventura incredibile, grazie a @Mattia Miraglio  per il supporto e a Red Bull Italia per aver supportato questa grande impresa. Grazie anche a tutti quelli che ho incontrato durante questo viaggio e grazie all’Italia per essere un posto fantastico 💪🏼❤️

Canale Mattia: https://www.youtube.com/c/MattiamiraglioIt
Intevista Mattia Podcast: https://youtu.be/AnVKmsuCIXM

Link Airbnb: https://abnb.me/e/51iMEqgIF9

Video Girato con
iPhone 11 Pro: https://amzn.to/3inqmJi
DJI Mavic 2 Pro: https://amzn.to/32jB3qR

Un grazie a http://www.immaginialvolo.it/ per le riprese aeree di Milano

ALTRI LINK UTILI

CANALE TELEGRAM OFFERTE: https://t.me/offertedale
LA MIA ATTREZZATURA: https://amzn.to/2TnN08z

SOCIAL
Instagram: https://www.instagram.com/jakidale
Telegram: https://www.telegram.me/jakidale

Amazon Prime: https://amzn.to/2YEZyyz
Prova Prime Music gratis: http://bit.ly/2KI6ssG
Prova Prime Video gratis: https://amzn.to/31vltoD
Airbnb (34€ gratis da questo link): http://bit.ly/2H189k7
TheFork (20€ gratis da questo link): http://bit.ly/2YWXTzE

Secondo Canale: https://www.youtube.com/user/jakidalechannel

MAIL (solo per richieste commerciali)
info@jakidale.it

*Questo video contiene inserzioni a scopo commerciale*"
"75pByg-qdIo","2020-09-14T07:42:28Z","20.14.09","UC7N8IuYFhU8Hs1ruCTsXTbg","DAZN Italia","Thauvin decide un  Le Classique  ad altra tensione: PSG-Marsiglia 0-1 | Ligue 1 | DAZN Highlights","17","https://i.ytimg.com/vi/75pByg-qdIo/default.jpg","108370","6476","69","0","398","False","False","psg|marsiglia|le classique|ligue 1|dazn|dazn italia|neymar|thauvin|benedetto|paredes|icardi|mbappe","Un gol di Thauvin decide il derby di Francia. Grande nervosismo nel finale, con ben 5 espulsi, compresi Neymar e Benedetto. Seconda sconfitta consecutiva per il PSG."
"xzvkfUq2NKo","2020-09-11T12:00:24Z","20.14.09","UCuhpwalXVDFD0UByu_886tA","GigiDAlessioVEVO","Gigi D'Alessio - Buongiorno (Official Video) ft. G-CREW","10","https://i.ytimg.com/vi/xzvkfUq2NKo/default.jpg","832614","29793","733","0","1950","False","False","GigiDAlessio|gigi|d’alessio|MV Killa|LDA|CoCo|Franco Ricciardi|Lele Blade|Enzo Dong|Clementino|Geolier|Samurai Jay|canzoni napoletane|napoli|neomelodico|dialetto napoletano|luche|J Ax|non dirlgi mai|mon amour|quanti amori|secondigliano|vomero|insieme a lei|nino d’angelo|come me|l’amore che non c’è|Annarè|quartieri spagnoli|the ne sai|tony colombo|nico pandetta|Buongiorno|Canzone Italiana|GGD EDIZIONI Srl|Gigi","Feat. VALE LAMBO, MV KILLA, COCO, LDA, ENZO DONG, FRANCO RICCIARDI, LELE BLADE, CLEMENTINO, GEOLIER, SAMURAI JAY

ASCOLTA ORA IL NUOVO ALBUM DI GIGI D'ALESSIO QUI: https://lnk.to/gigibuongiorno 

GGD EDIZIONI SRL


Segui Gigi sui canali ufficiali:
Sito ufficiale: http://gigidalessioofficial.it/
Facebook: https://www.facebook.com/gigidalessioofficial
Instagram: https://www.instagram.com/gigidalessioreal/
Twitter: https://twitter.com/_gigidalessio_
Newsletter: http://eepurl.com/dHna6j
Fan Club Ufficiale: http://contanoecantano.com/
Official Store: http://gigidalessioofficial.it/negozio/


BUONGIORNO_GIGI D’ALESSIO 
feat. VALE LAMBO, MV KILLA, COCO, LDA, ENZO DONG, FRANCO RICCIARDI, LELE BLADE, CLEMENTINO, GEOLIER, SAMURAI JAY

PRODUTTORE ESECUTIVO: GIAMPIERO TRAMICE
REGIA: FABRIZIO CESTARI
PRODUZIONE: ROCKETT (EMANUELA DI GIAMMARCO & FABRIZIO CESTARI)
DIRETTORE DELLA FOTOGRAFIA: DAVIDE MANCA
ROCKETT PR: MARIA ROSARIA CAUTILLI
OPERATORE: LEONARDO CESTARI
ASSISTENTE: FEDERICO DA MARIO
OPERATORE STEADY: GUIDO ALBERTO MATTEI
ASSISTENTE: GIACOMO DI LUISE, GIACOMO FRANCESCONI
DRONI: GIANMARCO GABRIELE
CAPO ELETTRICISTA: FRANCESCO FEMINIANO
CAPO MACCHINISTA: RAFFAELE PREJANO
SCRIPT / PROPS / MONTAGGIO: FABRIZIO CESTARI
COLOR GRADING - POST PRODUCTION: CRESCENZO MAZZA
GROOMING: EMANUELA DI GIAMMARCO USING SISLEY PARIS

Si ringrazia:
ENZO CHIUMMARIELLO Coordinamento artistico e supervisione
CARMINE MELLONE 8 Coordinatore
RAFFAELE VENERUSO"
"R-Yq1AlIwsc","2020-09-13T17:23:39Z","20.14.09","UCB_qr75-ydFVKSF9Dmo6izg","FORMULA 1","2020 Tuscan Grand Prix: Race Highlights","17","https://i.ytimg.com/vi/R-Yq1AlIwsc/default.jpg","2773682","71665","1332","0","6787","False","False","F1|Formula One|Formula 1|Sports|Sport|Action|GP|Grand Prix|Auto Racing|Motor Racing|F1 race|Good F1 race|F1 Crashes|Tuscan|Tuscany|Formula 1 2020|Italy|Podiums|Lewis Hamilton|Alex Albon","Re-live a rollercoaster of a race at Mugello, the inaugural Tuscan Grand Prix!

For more F1® videos, visit http://www.Formula1.com

Follow F1®:
http://www.instagram.com/F1
https://www.facebook.com/Formula1/
http://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1 #TuscanGP"
"LyNs4zYK71g","2020-09-12T23:32:24Z","20.14.09","UChFNc9YJHB6RK4YWQ1qgJVg","Tú Sí Que Vales","Tú Sí Que Vales - Lucilio Jr  Rizzo - Prima puntata","24","https://i.ytimg.com/vi/LyNs4zYK71g/default.jpg","97239","803","336","0","None","False","True","Tú sí Que Vales|talent show|video delle esibizioni|canale 5|maria de filippi|teo mammucari|rudy zerbi|gerry scotti|alessio sankara|belen rodriguez|martin castrogiovanni|Sabrina Ferilli|esibizione|Lucilio Jr Rizzo|prima puntata|Tu Si Que Vales 2020 prima puntata|Rudy Zerbi litiga con concorrente|litigio concorrente|lucillo tu si que vales","Guarda l'esibizione completa:
https://www.wittytv.it/tusiquevales/lucilio-jr-rizzo-prima-puntata/F310560201001C05?wtk=youtubenp.autopromo.tusiquevales.tusiquevales.descrizione.witty%2E

Guarda la puntata:
https://www.wittytv.it/tu-si-que-vales/prima-puntata-sabato-12-settembre/?wtk=youtubenp.autopromo.tusiquevales.tusiquevales.descrizione.witty%2E"
"JHs313mBbjk","2020-09-13T12:00:03Z","20.14.09","UCYZ3uwiIy1LrwrAywLeQSlQ","theShow","Scherzi Sotto Copertura a un Matrimonio al Sud ft. @Casa Surace - [Candid Camera] - theShow","24","https://i.ytimg.com/vi/JHs313mBbjk/default.jpg","190863","16988","692","0","399","False","False","the show|theshow|the show is you|theshowisyou|esperimenti sociali|the show scherzi|esperimento sociale|scherzi iene|prank ita|scherzi gente milano|''scherzi''|''scherzo''|scherzi a parte|candid camera|giochi matrimonio|scherzi matrimonio|infiltrarsi matrimonio|jaser|imbucarsi|ballo|riso in testa|nonna rosetta|casa surace|arbitro theshow|gatto|alberto|matrimonio sud|Scherzi Sotto Copertura a un Matrimonio al Sud","Qui trovi tutto quello che abbiamo in casa e molto altro: https://www.amazon.it/shop/theshow

Avevamo già provato a infiltrarci a un matrimonio con Jaser. Questa volta ci abbiamo riprovato con Gatto ma...al Sud Italia!
Grazie a Casa Surace per la complicità! 

Questo video è stato girato prima dell'emergenza Coronavirus.

Con cosa registriamo di nascosto?
🎥CAMERE
Per girare candid a camera nascosta:
- Panasonic HC-VX980: https://amzn.to/39sKncM
- GoPro HERO 8: https://amzn.to/2VFn8IC
- Supporto da petto per GoPro HERO 8: https://amzn.to/2Tf5dqp
Per le intro:
- Panasonic Lumix Gh5: https://amzn.to/2IfYnus
- Lente 18 -35 Sigma: https://amzn.to/3cnVGox
🎤MICROFONI E REGISTRATORI
Microfoni nascosti:
- Tascam DR-10L: https://amzn.to/32PDekA
- Set Microfono Sennheiser: https://amzn.to/32Kjm2k
Per registrare i voice over
- Microfono a condensatore: https://amzn.to/38bwP41
- Pannello fonoassorbente: https://amzn.to/2TyFCHV
Registratori portatili:
- Olympus: https://amzn.to/32PDpMM
- Zoom h6: https://amzn.to/2Ie8Iak
💡LUCI
Faretto leggero Yongnuo: https://amzn.to/39hsDRQ

Qui trovi il nostro libro Fallo: Teorie inutili ed esercizi pratici per vincere le PARANOIE ed essere VERGOGNOSAMENTE felici
📕https://amzn.to/3bnuapW

¶ La programmazione 2019/2020 di theShow:
   - LUNEDÌ: Candid  Girl Power  con le Aktriz
   - MERCOLEDÌ: Candid Camera  Original theShow , con Alessio e Alessandro
   - VENERDÌ: Video dei nuovi player (a rotazione tra LALE, Gatto e Jaser)
   - DOMENICA: EPPOI? QUIZ SHOW (A Domeniche Alterne)

¶ Partecipa al quiz EPPOI? scrivendo a eppoitheshow@gmail.com (verranno prese in considerazione solo le candidature di maggiorenni, con video di presentazione e/o contatti social)

¶ Per lettere/pacchi, ricorda di scrivere  ALL'ATTENZIONE DEI THESHOW  prima dell'indirizzo: Show Reel Media Group - Via Stresa 6, 20125 Milano 

¶ SEGUITECI SU: 
   - Youtube: http://www.youtube.com/theshowisyou 
   - Facebook: http://www.facebook.com/theshowisyou
   - Twitter: http://www.twitter.com/theshowisyou
   - Instagram: http://www.instagram.com/theshowisyou"
"Sn_IVcpjQrc","2020-09-10T22:00:05Z","20.14.09","UCjS3AJDotyaER6SoGbVLVFQ","Ligabue","Ligabue - La ragazza dei tuoi sogni (Official Video)","10","https://i.ytimg.com/vi/Sn_IVcpjQrc/default.jpg","538752","16721","426","0","1088","False","False","luciano ligabue|ligabue|luciano|nuovo singolo|nuovo album|liga|la ragazza dei tuoi sogni|la ragazza|2020|musica italiana 2020|warner music italy","Ligabue - La ragazza dei tuoi sogni (Official video)
Ascolta e scarica il brano: https://ligabue.lnk.to/LrGzDtS

Segui Ligabue su: 
Spotify: http://bit.ly/Ligabue_Spotify 
iTunes: http://bit.ly/Ligabue_AppleMusic 
Instagram: https://www.instagram.com/ligabue_official
Facebook: https://www.facebook.com/ligabue 
Twitter: https://twitter.com/Ligabue 
Sito : https://www.ligabue.com/ 
Fanclub ufficiale: https://barmario.ligabue.com 

A distanza di un anno e mezzo dall'uscita più recente, Luciano Ligabue torna in radio/streaming/download con il nuovo singolo “La ragazza dei tuoi sogni . Il brano, prodotto da Fabrizio Barbacci, anticipa un nuovo album di inediti, in arrivo entro fine 2020.

Il nuovo video di Luciano Ligabue, diretto da Younuts! e prodotto da Marco Salom per CrossMediaFilms, è un video onirico, misterioso, evocativo. 
La protagonista, che incarna molteplici personalità del genere femminile, vive in una roulotte, in una sorta di accampamento in mezzo a un bosco, e non viene mai mostrata chiaramente. 

Viene ripresa e raccontata tramite dettagli, close up, di spalle, perché la ragazza dei sogni è per ognuno differente e può essere idealizzata solo in modo soggettivo. 
E’ un video visual, intenso, colorato, astratto, dove il playback di Ligabue si alterna e si fonde a immagini (diurne e notturne), frammentate da prismi e lenti speciali. 

TESTO
La ragazza dei tuoi sogni
ti farà l'amore sempre 
come quelle prime volte

ha la vita indipendente
fa capire quando conta
quanto conti veramente

E perdona solo il giusto
che altrimenti corre il rischio
che non te ne freghi niente

e fa sempre giochi nuovi
fino a quando tu ti fidi
fino a quando è divertente

Sa chi sei
sa chi non sarai
non si aspetta un altro
non aspetta altro

Sa chi sei
sa che cosa vuoi
sa che cosa hai dentro
sa quand'è il momento
sa ballare lento
sa restarti dentro

La ragazza dei tuoi sogni
quando è giù tu riesci sempre
a farla stare meglio

ed è bella che fa voglia
anche dopo tanti anni
quando stira, quando è in bagno

E sa ridere di gusto
e fa ridere anche te
proprio come un vecchio amico

e si gioca la sorpresa 
quella che ti ci voleva
nel momento più azzeccato

Sa chi sei
sa chi non sarai
non si aspetta un altro
non aspetta altro

Sa chi sei
sa che cosa vuoi
sa che cosa hai dentro
sa quand'è il momento
sa ballare lento
sa restarti dentro

e ti sa prendere in giro 
fino a fartelo capire
cosa conta per davvero

La ragazza dei tuoi sogni
finché resta nei tuoi sogni
puoi cercare ancora in giro
puoi cercare ancora in giro
puoi cercare ancora in giro

Sa chi sei
sa chi non sarai
non si aspetta un altro
non aspetta altro

Sa chi sei
sa che cosa vuoi
sa che cosa hai dentro
sa quand'è il momento
sa ballare lento
sa tenerti dentro

CREDITS
Regia_Younuts!
Executive Producer_Marco Salom
Production company_CrossMediaFilms
Director of photography_Marco Bassano
Editor_Matteo Cataldo
Color grading_Rosario Balistreri

Starring_Isabel Beretz
Women Management_Cristina Magnaghi
Set designer_Cecilia Carmana
Costume designer_Lucia Chiappini
Make up artist_Delia Caporali
Make up_Giusi Mertoli

Production manager_Roberto Siboni
Unit manager_Leonardo Galli
Driver_Gianluca Antonini
Steadycam_Luca Sportelli
1st AC_Loic Bovolenta
2nd AC_Sacha Beverini
Video assist_Giulia Pavanati

Gaffer_Alan Zacchetti
Electrician_Marco Marangoni
Key grip_Mario Zacchetti
Prop Master_Marco Pagallo
Bts_Matteo Cataldo

Technical equipment_Videodesign
Trucks and cars rental_Biglioli /Emilio Faini
Airstream_Personal time
Camper_Franco Free

Thanks to Comune e Vigili urbani di Triuggio, Simone Fontana.

Questo video è stato realizzato rispettando le misure di sicurezza a tutela del contenimento del virus COVID-19.

Watch it in 4K!

#Ligabue #LaRagazzaDeiTuoiSogni"
"id_T2AKEc8E","2020-09-11T09:45:02Z","20.14.09","UCD_-J0d48jVOWD4DMECZxCg","Ohm","⚽ MUNDIALITO FOOTBALL CHALLENGE con gli ELITES!","20","https://i.ytimg.com/vi/id_T2AKEc8E/default.jpg","394869","28874","787","0","557","False","False","MUNDIALITO|OHM|ELITES|FOOTBALL CHALLENGE|MUNDIALITO FOOTBALL CHALLENGE|MUNDIALITO CHALLENGE|FIUS GAMER|ENRY LAZZA|TATINO|VILLA ELITES","📸 INSTAGRAM: https://www.instagram.com/omaraamoum_
🎵 TIKTOK: https://www.tiktok.com/@omaraamoum_
🚨 TWITCH: https://www.twitch.tv/ohm

Federico Marconi: https://www.youtube.com/c/FedericoMarconiOfficial

Nuovo video dalla VILLA ELITES! 
Oggi nuova football challenge con il mundialito insieme agli Elites, Ivano e Domenico! Chi avrà vinto?

💎 Elites: http://bit.ly/ELITESYT
📸 Elites Instagram: https://www.instagram.com/elitesyt/

👤 Fius Gamer: http://bit.ly/FiusGamer_
👤 Ohm: http://bit.ly/Ohm_
👤 Enry Lazza: http://bit.ly/EnryLazza_
👤 T4tino23: http://bit.ly/T4tino23_

☆ Registro con Elgato: http://e.lga.to/Ohm"
