video_id,published_time,trending_date,channel_id,channel_title,video_title,category_id,thumbnail_link,view_count,like_count,dislike_count,favorite_count,comment_count,rating_disable,comment_disable,tags,description
"yVDvw_gNbss","2020-09-13T11:48:01Z","20.14.09","UCibEhpu5HP45-w7Bq1ZIulw","Fischer's-フィッシャーズ-","【ご報告】ンダホ、子どもが産まれていました！","24","https://i.ytimg.com/vi/yVDvw_gNbss/default.jpg","3645197","195738","3790","0","26747","False","False","Fischer's|フィッシャーズ|野生児|MASAI.|無謀|自然|チャレンジ|シルクロード|マッチョ|マサイ|ぺけたん|ザカオ|ンダホ|ダーマ|モトキ|おもしろ|挑戦|SilkRoad|Dama|Peketan|Ndaho|Zakao|Motoki|Masai|シルクの部屋|毎日|動画|投稿|面白|面白動画|やってみた|ウケる|爆笑|大爆笑|コント|一発芸|ギャグ|ネタ|楽しい|お笑い|笑える|オススメ|商品紹介|YouTube|youtuber|Japan|japanese|Blog|Vlog|腹筋崩壊|抱腹絶倒|都市伝説|身体張る|スポーツ|講座|ビログ|ビデオブロガー|大学生|軍団|イケメン|ウオタミ|UUUM|ウーム|結婚|出産|子ども|子供|誕生|息子|娘|報告|ご報告|ドッキリ|いたずら|赤ちゃん|BABY","子どもに誇ってもらえるような父親になれるよう！
家族やメンバーそして視聴者さんのためより一層頑張ります！
ピンチをチャンスに精神で今回の動画の流れになりました！
今後ともンダホ一家を改めてよろしくお願い致します。

二代目のチャンネルもよろしく！
☆Fischer's-セカンダリ-
■https://goo.gl/QgBhjD

☆チャンネル登録よろしくね！
■https://goo.gl/lSy9St

☆専用の絵文字や色々！チャンネルメンバーシップはこちら！
■https://goo.gl/uJomwo

☆Ｔシャツ、パーカーなどのフィッシャーズグッズ！
■http://bit.ly/2pdgURz

☆フィッシャーズメンバーのTwitterはこちら！
ーシルクロード@RytoSle2（リーダー）
■https://twitter.com/RytoSle2
ーマサイ@MASAI_Fischers
■https://twitter.com/MASAI_Fischers
ーンダホ@ndahoFischers
■https://twitter.com/ndahoFischers
ーモトキ@Fs_hasninelives
■https://twitter.com/Fs_hasninelives
ーぺけたん@peketanFischers
■https://twitter.com/peketanFischers
ーザカオ@fischerszakao
■https://twitter.com/fischerszakao
ーダーマ@M2DAMA
■https://twitter.com/M2DAMA
↓フィッシャーズ公式アカウントは下へ↓


【Fischer's-フィッシャーズ-】
出来そうで出来なさそう、くだらない事、好きなことをする…。
中学三年の頃、「楽しい」を動画にすることから始まった古くて幼稚園、同い年の同級生からなるネットパフォーマー集団です。メンバーは全員で7人！
[シルクロード] [ンダホ] [ダーマ] [ザカオ] [ぺけたん] [モトキ] [マサイ] 

【公式アカウント】
ーTwitter（動画公開時の通知＋告知など）
■https://twitter.com/FischersHome
ーFacebook（動画公開時の通知）
■https://www.facebook.com/FischersHome
ーInstagram（オフショット）
■https://www.instagram.com/fischershome
ーウェブサイト・メンバー紹介
■http://fischers.web.fc2.com/

【再生リスト】
―すべて表示(西暦別もあります)
■https://goo.gl/fB9HYY
―アップロード順
■https://goo.gl/TuFZ4W
―再生数順
■https://goo.gl/pw3hyy

【音源・効果音使用元】様
―DOVA-SYNDROME
■http://dova-s.jp/
―効果音ラボ
■http://soundeffect-lab.info/
―甘茶の音楽工房
■http://amachamusic.chagasi.com/
―魔王魂
■http://maoudamashii.jokersounds.com/
―Epidemic Sound
■ http://www.epidemicsound.com

【一部の動画・静止画素材提供元】 
PIXTA

※動画によって使用していない場合がございます。

【お問い合わせ先について】
※1 業界の皆様・ご依頼の方々・その他ご相談がある方は、UUUMウェブサイトにある「サービス」からお願い致します。
※2 YouTubeメッセージ機能は、フィッシャーズでは利用していません。ご理解いただけると幸いです。

【サービスに関するお問い合わせ（UUUM）】
http://www.uuum.co.jp/

#Fischers #フィッシャーズ"
"kazmlNw3C4w","2020-09-13T10:00:20Z","20.14.09","UCjANqq_LsXC-OHugv8yAUtg","那須川天心チャンネル","朝倉未来とディズニーデート","22","https://i.ytimg.com/vi/kazmlNw3C4w/default.jpg","694371","19705","484","0","1546","False","False","那須川天心","#那須川天心#朝倉未来#コラボ

▼朝倉未来さんとのコラボ動画はこちら↓
https://youtu.be/IzU0QN9nnEc

▼朝倉未来 Mikuru Asakuraのチャンネルはこちら↓
https://www.youtube.com/channel/UCJZVj2iBrdvbNc416i0V-UA

那須川天心
Cygames/TARGET/TEPPEN

Instagram
https://instagram.com/tenshin.nasukawa

Twitter
https://twitter.com/TeppenTenshin

TikTok
https://vt.tiktok.com/AY8LGP/"
"EN-6_PEdv1M","2020-09-13T11:00:13Z","20.14.09","UC8_wmm5DX9mb4jrLiw8ZYzw","スカイピース","【シンプル】100万円見つけた人が全額GET！！wwwww","22","https://i.ytimg.com/vi/EN-6_PEdv1M/default.jpg","468099","18605","314","0","1436","False","False","スカイピース","やるからには全力で！！
でも人生気楽にな♪

チャンネル登録よろしくお願いします！
https://www.youtube.com/channel/UC8_wmm5DX9mb4jrLiw8ZYzw

【空の平和島】
こっちのチャンネルもよろしくお願いします！！！！！
https://www.youtube.com/channel/UCn_cpHcrXjG_XnH9N3fO6qA

- スカイピース -
■ Twitter ⇒ https://twitter.com/skypeace_teojin
■ 連絡先 ⇒ inaka72kuu@yahoo.co.jp
■ YouTubeサブ ⇒ https://www.youtube.com/channel/UCn_cpHcrXjG_XnH9N3fO6qA/videos

- テオくん -
■ Twitter ⇒ https://twitter.com/teokun711
■ Instagram ⇒ https://www.instagram.com/teokun.711/
■ YouTube ⇒ https://www.youtube.com/channel/UCj6_0tBpVpmyYSGu6f-uKqw

- ☆イニ☆(じん) -
■ Twitter ⇒ https://twitter.com/JINJIN1027
■ Instagram ⇒ https://www.instagram.com/jinjin10272/
■ YouTube ⇒ https://www.youtube.com/channel/UC5VZjrV5x9J9mTyGODzu0dQ

メンバーシップの登録
https://www.youtube.com/channel/UC8_wmm5DX9mb4jrLiw8ZYzw/join

- 提供BGM -
STUDIO PUPPY
■ Twitter ⇒ https://twitter.com/i_k_p

もやしさらだ
■ Twitter ⇒ https://twitter.com/moyasisarada
■ YouTube ⇒ https://www.youtube.com/watch?v=6F2kbuou8O8&feature=youtu.be"
"kTTFX74XTkc","2020-09-13T09:03:54Z","20.14.09","UC5o11UDNha6m1yoL_IJGYPQ","皇治チャンネル","アンチと初対面スパーリングしてみた","24","https://i.ytimg.com/vi/kTTFX74XTkc/default.jpg","744500","7649","1062","0","2187","False","False","皇治|こうじ|YouTube|ユーチューブ|ユーチューバー|YouTuber|キックボクシング|ボクシング|ライジン|RIZIN|TikTok|ポイ捨て|ぼったくりバー|ぼったくり|新庄剛志|スーパースター|喧嘩|詐欺師|ゴシップ|重課金|クラウドファンディング|記者会見|那須川天心|天心|武尊|コラボ|カリスマ|コント|漫才|チンピラ|DQN|アンチ|ドッキリ|どっきり|乱闘|けんか|ネタ|爆笑|お笑い|夏|最高|3150|大阪|難波","YouTube皇治チャンネル公開
アンチと初対面スパーリングしてみた


視聴はコチラ▼
https://youtu.be/kTTFX74XTkc

皇治オフィシャルHP🔻
https://kouzi.jp/


--------------------------------------------------
YouTube案件のご依頼、各種問い合わせはコチラまで🔻
team.one1.info@gmail.com 
-------------------------------------------------


皇治がプロデュースするアパレルブランド【MADBRO】の公式オンラインショップが開設🔻
https://www.madbro.jp/




TEAMONE×BODYMAKERのコラボ
Tシャツ発売中！
https://www.bodymaker.jp/shop/e/ekouzi/


リストバンド&ヘアバンドも発売中!!
 https://t.co/Kda37SR1hn https://t.co/lDjdvWMy7p


皇治×awsowmコラボグッズ
流行りのダイバー素材!! 発売中!!
https://t.co/Wx8jLlhdnk https://t.co/WDLHC2EbMD


香水　皇治プロデュース
【MAD vermin】
モテることを追求したフェロモン香水。すべての男性が自信を持って女性にアプローチできるように、女性の好きな香りを皇治自らがこだわり実現しました。香りが良いだけでなく、女性を魅了する成分を配合しています。
https://www.abemashopping.jp/mad-vermin-2/


TEAM ONE【iPhoneケース】
https://item.rakuten.co.jp/awesome-japan/kouzi_sumaho7/


(iPhone11 iPhone11Pro iPhone8
　　　　　　 iPhoneX iPhoneXS iPhone7　対応)


::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::




　　　　　#皇治チャンネル#YouTube


::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::


皇治　SNS ▼


【Intagram】 https://www.instagram.com/1_kouzi/


【Twitter】　 https://twitter.com/1_kouzi


【アメブロ】  https://ameblo.jp/champ1kouzi/


【Facebook】https://m.facebook.com/1kouzi


【TikTok】　  tiktok.com/@1_kouzi
皇治オフィシャルTikTokはコチラ▼
https://vt.tiktok.com/A7qxeH/
::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::




TEAM ONE　公式SNS


【Intagram】https://www.instagram.com/k1_teamone/


【Twitter】　https://twitter.com/team_one?s=06
　
::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::


BGM


♪levianth acejax real love
https://youtu.be/VMqiNvYa9zA


♪bloom be around
https://youtu.be/XnouxUYJRRo






～～格闘家「皇治」 プロフィール～～


小･中学時代には空手や日本拳法の全国大会で活躍。
その一方で喧嘩にも明け暮れ、本人曰く｢喧嘩は負けなし、
全戦全勝全KOだった｣。


大阪出身で華のあるルックスと歯に衣着せぬビッグマウスか
ら、出場する大会は注目が上がりファンを魅了。


2018年12月のK-1大阪大会では対戦要求し続けていた　武尊　
とのタイトルマッチが実現。
敗れはしたものの、壮絶な打ち合いでK-1の歴史に残る名勝負
を繰り広げた。


2019年8月24日のK-1大阪大会には“大阪の顔”として凱旋し、　
大岩　龍矢との激戦を延長判定で勝利。


2019年11月24日のK-1 横浜大会では年内引退を公言していた
が本人が前から挑んでいた異種格闘技戦ができることと共に
K-1 を盛り上げたいその一進で急遽参戦を決意!!　試合では　
川原　誠也選手と1Rからダウンを奪い合い見事KO勝ちで勝利し会場を爆発させた。


今や格闘技界を最も盛り上げる男として注目を浴びる。




そして2020年７月18日
舞台はk-1からRIZINへと。。。
unruly「架け橋」






入場曲は「　強　/　スーパースター　」




::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::"
"kzSpz6SBCmg","2020-09-13T11:00:09Z","20.14.09","UCWtLzcASRAjlVhKibLUCuEw","はじめまして松尾です","電車の中で見るべきアニメ","23","https://i.ytimg.com/vi/kzSpz6SBCmg/default.jpg","595509","32690","276","0","2475","False","False","","元々松尾は体力が中1女子くらいしか無いのですが、最近特に概要欄まで手を回す余裕がない事が多く、適当に書いたり全く書かなかったりと、概要欄目的でチャンネル登録をしてくれてる人に申し訳なくってそんな奴おらんか。ええわ。手抜こ。

ついったーしたしたした
https://twitter.com/@20hajimemashite

インスタ👇👇👇
https://www.instagram.com/omuraisuumaidesu/"
"46xJGI2LHgs","2020-09-13T10:00:01Z","20.14.09","UCKa1VlSq1WwdSQWv4JFdgxg","デーブ大久保チャンネル","【第二話】清原と語る、打撃理論と鉄拳制裁","17","https://i.ytimg.com/vi/46xJGI2LHgs/default.jpg","251314","4300","191","0","345","False","False","プロ野球|野球選手|野球|広島|阪神|横浜DeNA|読売ジャイアンツ|中日|巨人|ソフトバンク|西武|楽天|清原|デーブ大久保|ピッチャー","■デーブ大久保 プロフィール
2020年6月〜YouTubeを始めることにしました。
プロ野球界の現在や過去のエピソードを幅広く配信していきたいと思います。
2008年西武ライオンズ日本一一軍打撃コーチ、元東北楽天ゴールデンイーグルス一軍監督

【Twitter】
デーブ大久保(＠DAVEOHKUBO）
➡︎https://twitter.com/DAVEOHKUBO

■デーブ・ベースボールアカデミーHPはこちら
http://www.dba-school.jp

■撮影場所　新橋の居酒屋　肉蔵でーぶ　
https://tabelog.com/tokyo/A1301/A130103/13193033/

#プロ野球　#野球　#清原和博"
"eI_igg9Isaw","2020-09-12T12:00:09Z","20.14.09","UC4S7FmJAcEJ_JubmjarL8kw","サラ久保ちゃんねる","【朝倉未来公認企画】K-1王者が歌舞伎町の喧嘩自慢にオタクの格好でガチにスパーリングを申し込んでみた！！【喧嘩】","22","https://i.ytimg.com/vi/eI_igg9Isaw/default.jpg","967927","16317","2297","0","1855","False","False","サラ|久保優太|K-1|チャンピオン|喧嘩|歌舞伎町|喧嘩自慢|スパーリング|ケンカ|不良|ヤンキー","久保です。今回は朝倉未来選手にアドバイスを頂き、実際にオタクの格好をして歌舞伎町の喧嘩自慢とスパーリングをして来ました！
チャンネル登録といいねボタン宜しくお願いします！

▶︎お問い合わせ、お仕事の御依頼はこちらまで
sarakubo@livestreamers.co.jp

▶︎サラちゃんのコラボ曲
https://youtu.be/v6LeTDzt_pE

サラ久保ちゃんねる
▶️https://www.youtube.com/channel/UC4S7FmJAcEJ_JubmjarL8kw

▶︎サラキャラスタンプ　大好評発売中！
https://store.line.me/stickershop/product/9935981/?ref=Desktop

各SNSもフォローお願いします😊✨

■Twitter
・サラ
https://twitter.com/sarah_168168
・優太
https://twitter.com/k1_kubo_yuta

■Instagram
・サラ
https://www.instagram.com/sarah_168168/
・優太
https://www.instagram.com/k1_kubo_yuta/

#朝倉未来 #喧嘩自慢"
"Pbsm5xEZxFA","2020-09-13T13:00:12Z","20.14.09","UCwKNfdT49VN0fDNZFw7XEOQ","世界のヨコサワ","１億円を賭けてしまいました。","24","https://i.ytimg.com/vi/Pbsm5xEZxFA/default.jpg","265162","7474","601","0","1191","False","False","ヨコサワ|世界のヨコサワ|yokosawa|YouTube|YouTuber|ゆーちゅーぶ|ユーチューブ|ゆーちゅーばー|ユーチューバー|ギャンブル|ギャンブラー|ポーカー|poker|カジノ|casino","プロギャンブラー、世界のヨコサワのチャンネルへようこそ！
チャンネル登録＆高評価よろしくおねがいします！

サブチャンネルもよろしく！
「普段のヨコサワ」
https://www.youtube.com/channel/UC6_R6Q9U7J4DKfG33Ys7rdg

Twitterはこちら
ヨコサワ▷ https://twitter.com/masatoyokosawa
ひろき▷ https://twitter.com/hrknw_po

■お仕事のご依頼はこちらまでお願いします
worldwideyokosawa@gmail.com


フリーBGM・音楽素材MusMus http://musmus.main.jp/"
"icrWgGLLZrw","2020-09-13T13:00:08Z","20.14.09","UCgm5JFYUWqVTQKH15D8eqFg","毎週キングコング","吉本興業をやめるかもしれません","24","https://i.ytimg.com/vi/icrWgGLLZrw/default.jpg","303566","7249","507","0","523","False","False","","▼映画「えんとつ町のプペル」の特報が見れる、東宝MOVIEチャンネルはこちら↓↓↓
・日本版　https://youtu.be/askt1NhP6v4
・英語版　https://youtu.be/LxNpJdVSwq8


▼『えんとつ町のプペル』（キングコングver.）ダウンロードはこちら↓↓↓
iTunes
https://itunes.apple.com/jp/album/150...
レコチョク
http://recochoku.jp/song/S1009021081/
配信サイト一覧
https://lpm.yoshimoto.co.jp/13748/

【MUSIC】
Music&Lyrics ： AKIHIRO NISHINO
Arrange/Sound Produce ：YHANAEL

【VIDEO】
Director/Camera ：HIRO KIMURA 
Camera：Akira Shimazu,Yuki Yamaguchi
Editor：Koki Matsumoto
Producer：Yuri Matsueda


オンラインサロン『西野亮廣エンタメ研究所』入会はこちら↓↓↓
https://salon.jp/

毎週キングコング撮影場所
提供：西野亮廣エンタメ研究所
『ZIP』
→https://zip.otogimachi.jp/

西野亮廣エンタメ研究所Youtubeチャンネルはこちら↓↓↓
https://www.youtube.com/channel/UCOy5...

カジサック公式アプリ「カジサックの楽屋」のインストールはこちらから！
▼iOS
https://apps.apple.com/app/id1473420400
▼Android
https://play.google.com/store/apps/de...

カジサックのチャンネルはこちら
https://www.youtube.com/channel/UC642...

キングコング梶原のTwitterアカウントはこちら
https://twitter.com/kinkonkajiwara

「チックタック～約束の時計台～」（幻冬舎）ご購入はコチラから↓
https://www.amazon.co.jp/dp/4344034481

天才万博チケット購入はこちら↓↓↓
http://tensaiexpo.thebase.in/

革命のファンファーレご購入はこちらから↓↓↓↓
https://www.amazon.co.jp/gp/product/B...

レターポットの登録はこちら↓↓↓
https://letterpot.otogimachi.jp"
"riKdf5ddEo0","2020-09-12T23:24:25Z","20.14.09","UCZfWmiGEbwWNPMe2nr3WdDg","WOWOWofficial","大坂なおみ 決勝スーパープレー／全米オープンテニス2020【WOWOW】","17","https://i.ytimg.com/vi/riKdf5ddEo0/default.jpg","333187","1352","428","0","537","False","False","大坂 なおみ|スポーツ|テニス|tennis|グランドスラム|アメリカ|ニューヨーク|全米|全米テニス|全米2020|スーパープレー|スーパープレイ|日本人選手|WSC|WOWOW","全米オープンテニス 大会第13日、大坂選手のスーパープレーをまとめてお届け！

＼日本人選手の活躍に期待！／
車いすテニス上地選手ダブルス決勝、国枝選手シングルス決勝！
『全米オープンテニス』WOWOW独占生中継・ライブ配信！
▼詳しい放送スケジュールはコチラ
https://bit.ly/34G5WaB 

▼ライブ配信や見逃した試合も視聴できるWOWOWメンバーズオンデマンドはコチラ
https://bit.ly/2EycTzJ

9/27(日)からは、秋開催となった全仏オープンも連日生中継。
グランドスラム(四大大会)すべて見られるのはWOWOWだけ！

#大坂なおみ #グランドスラム #全米テニス #WOWOW #スーパープレー #スーパープレイ"
