video_id,published_time,trending_date,channel_id,channel_title,video_title,category_id,thumbnail_link,view_count,like_count,dislike_count,favorite_count,comment_count,rating_disable,comment_disable,tags,description
"gqsssi5by38","2020-09-13T22:00:13Z","20.14.09","UCr0adenI5KeQFJkMIGjq5qw","KBS N","발음 때문에 바보로 오해받지만 알고 보면 IQ 상위 3%의 뇌섹녀 [무엇이든 물어보살]","24","https://i.ytimg.com/vi/gqsssi5by38/default.jpg","1354042","18774","509","0","4027","False","False","KBSN|서장훈|이수근|무엇이든물어보살|고민상담|점괘|보살|선녀보살|동자보살|KBSJoy|덕자","티비 출연당한 #덕자

▶ 상담신청 : kbsbosal@naver.com
▶ KBS Joy #무엇이든물어보살 매주 월요일 저녁 8시 30분★
▶ 클립 더 보기 : https://tv.naver.com/kbs.buddhist

[KBS N]
▶ 홈페이지 : http://www.kbsn.co.kr
▶ 페이스북 : http://www.facebook.com/happykbsn
▶ 인스타그램 : https://www.instagram.com/kbsn_official"
"GjtMOEPm1SA","2020-09-14T01:59:22Z","20.14.09","UC5HSw5OY2vfVFSihpiB-AVQ","TBS 시민의방송","[김어준의 뉴스공장 FULL/9월 14일]","25","https://i.ytimg.com/vi/GjtMOEPm1SA/default.jpg","361727","27862","670","0","746","False","False","TBS|김어준|뉴스공장|코로나|정의연|미국|트럼프|마포쉼터|이재용|정경심|사모펀드|한명숙|윤미향","[TBS 유튜브(월) 생방송]
▶7시 6분 : 김어준의 뉴스공장 ▶9시 :킹슈맨 ▶10시:민생연구소
-9월 14일 (월) 김어준의 뉴스공장-
◎ 1부
[이 정도는 알아야 할 아침 뉴스]
- 류밀희 기자 (TBS)

◎ 2부
[인터뷰 제1공장] 
추미애 장관 아들과 같은 부대 카투사의 결정적 제보 “말이 안 된다”
- 추미애 장관 아들과 함께 복무한 카투사 (익명)

[인터뷰 제2공장] -전화연결
수도권 거리두기 2단계로 완화
“2주간 감소세 유지돼야 추석 대비 가능해”
- 기모란 국립암센터 교수 (대한예방의학회 코로나19 대책위원장)

◎ 3부
[인터뷰 제3공장]  
남중국해 둘러싼 미-중 갈등, 아세안 입장은
 패권 경쟁과는 거리..국가별 입장 차 보여”
- 이재현 선임연구위원 (아산정책연구원)

[인터뷰 제4공장]  
부동산 거래 줄고 갭 투자 위축 뚜렷
 집값 안정세..부동산 시장 혼돈 없어 
- 한문도 겸임교수 (연세대학교 정경대학원)


◎ 4부
[박양신장]
 위법행위 없다  추 장관 해명.. 남은 쟁점은
& 정경심 교수 공판 진행 상황
- 박지훈 변호사
- 양지열 변호사
- 신장식 변호사
- 장용진 기자 (아주경제 사회부장)


----------------------------------------------
▶TBS 유튜브 구독 http://j.mp/MyLoveTBS
▶TBS 페이스북 https://facebook.com/mylovetbs
▶TBS 카카오스토리 https://story.kakao.com/ch/seoultbs
▶TBS 인스타그램 https://instagram.com/seoultbstv
▶TBS 트위터 https://twitter.com/seoultbstv
▶TBS 홈페이지 http://tbs.seoul.kr/
▶TBS 유튜브 커뮤니티 http://bit.ly/2EaWnQp"
"4ZwADtASJf4","2020-09-14T03:41:06Z","20.14.09","UCnXNukjRxXGD8aeZGRV-lYg","스포츠타임","이강인, 개막전 현지해설  자신이 원하는 대로 플레이를 하고 있어요  #SPORTSTIME","17","https://i.ytimg.com/vi/4ZwADtASJf4/default.jpg","394493","3180","76","0","817","False","False","라리가|이강인|SPOTV|SPOTV NEWS|발렌시아|현지해설|손흥민|이승우|KANG IN","SPOTVNEWS ☞ http://www.spotvnews.co.kr/ 
SPOTV NOW ☞ https://www.spotvnow.co.kr/
네이버 TV ☞ https://tv.naver.com/spotvmaster/clips
카카오 TV ☞ https://tv.kakao.com/channel/1706/video
페이스북 ☞  https://www.facebook.com/spotvnews
내가 원하는 스포츠 상품 구매는? ☞  https://www.spotvmall.com"
"u-x1G3PAs_E","2020-09-14T04:51:28Z","20.14.09","UCpCiIDf9UrfRqte55FHWlYQ","드림텔러(DreamTeller)","헐리웃에서 이병헌 연기실력보고 충격받아 30억 주고 캐스팅했다는 영화","1","https://i.ytimg.com/vi/u-x1G3PAs_E/default.jpg","393001","4665","172","0","700","False","False","","#지아이조2 #이병헌 #영화소개 #영화"
"gxPyzaYx7-c","2020-09-14T01:54:15Z","20.14.09","UCqsKWTIu7IhBjLFZS2s1ULQ","SBS Sports","🤬발길질에 주먹질, 인종차별 논란까지.. 네이마르에게 무슨일이?😲 [리그1]","17","https://i.ytimg.com/vi/gxPyzaYx7-c/default.jpg","646622","3024","130","0","2011","False","False","네이마르|음바페|디마리아|psg|마르세유|르클라시크|퇴장|레드카드|토방|난투극|인종차별|racism","#리그앙 #리그1 #프랑스 #네이마르 #디마리아 #복귀 #psg #마르세유 #사카이 #르클라시크"
"iab3tVa6EjY","2020-09-11T09:30:02Z","20.14.09","UC0SoPwEH3idvemSDvKaYgGA","달라스튜디오","아이스크림왕 만나서 네고해왔습니다 [네고왕] Ep.5","23","https://i.ytimg.com/vi/iab3tVa6EjY/default.jpg","3733669","103865","1291","0","14296","False","False","예능|달라스튜디오|DALLA|할인|광희|황광희|제아|제국의아이들|여름|빙수","2:47 광희 민트초코 소신 발언..ㄷㄷ
크으~~ 역대급 네고 먹통에도 불구하고 시원하게 네고 해옴ㅋㅋㅋ

[계약서]
1. 편의점 및 하겐다즈 공식 온라인 스토어에서 전 제품 2+1 행사를 9월 한 달간 시행 (단, 편의점에는 부담이 없게 한다)
2. 방송일 기준 1주일간 하겐다즈 공식 온라인 스토어에서 파인트 2+1 구매시 미니컵 랜덤 2개 증정 (최초할인 2+3 :: 2개 구매시 3개 추가 증정)

네고왕 황광희
하겐다즈 대표 김미조

선팩폭 후네고 예능 [네고왕]
🔔 매주 금요일 오후 6시 30분
🔔 구독+댓글+알림설정ㄱㄱ

기획 : 고동완
제작 : 강경민 백승엽 배민지 김지인 
작가 : 이민정 유희경

#네고왕 #NegoKing #달라스튜디오 #황광희 #기업리뷰 #제품리뷰 #서비스리뷰 #아이스크림 #하겐다즈"
"qB135yqEgOU","2020-09-13T00:00:05Z","20.14.09","UCmjNKt6kITwaZTqvWuaSPLg","SBS Entertainment","[선공개] 인성 문제 없는 이근대위의 특수 요원 훈련!(*유행어 자판기 주의*)ㅣ집사부일체(Master in the House)ㅣSBS ENTER.","24","https://i.ytimg.com/vi/qB135yqEgOU/default.jpg","828672","11103","202","0","2200","False","False","sbs|20200913|이승기|양세형|신성록|차은우|김동현|집사부일체예고|집사부일체137예고|집사부일체미리보기","예　능 | 집사부일체 137회
본방송 | 9월 13일 일요일 저녁 6시 25분

SBS 일요일 예능 ‘집사부일체 (Master in the House)’
☞저녁 6시 25분 본방송

#집사부일체 #이승기#차은우

▶ Hompage : https://www.sbs.co.kr/tv/enter
▶ Subscribe SBS Entertainment : https://bit.ly/2SpOhMC"
"ROPepyznAuE","2020-09-13T07:00:04Z","20.14.09","UCLKuglhGlMmDteQKoniENIQ","14F 일사에프","세계 9위 부자까지 올랐던 대한민국 최고의 재벌, 아무도 못하면 현대가 한다! 현대家 스토리 / 14F","25","https://i.ytimg.com/vi/ROPepyznAuE/default.jpg","658478","12059","243","0","1895","False","False","14f|일사에프|현대자동차BTS|삼성크룹|현대카드|현대백화점|현대중공업|정몽구|정의선|이병철|소비더머니","다른 굴지의 재벌들과 달리 흙수저 출신 재벌이 일으킨 현대그룹.
대한민국 기업가 정신의 상징이라는 현대그룹 스토리에는 창업주 정주영 회장 일가의 도전과 꿈이 담겨 있습니다.
쌀가게에서 시작해 건설회사, 자동차, 중공업까지..황무지에서 이 모든 것을 일궈낸 현대의 이야기를 전해드립니다.

#현대 #정주영 #현대자동차"
"gcAIsQpzGIA","2020-09-11T09:00:24Z","20.14.09","UCwx6n_4OcLgzAGdty0RWCoA","워크맨-Workman","[ENG] 가짜사나이, 에뛰드 드디어 성사?! 알바 취소로 장성규 집까지 찾아가 라운드걸 약속 받아낸 구독자 소통 특집 | 워크맨 ep.67","24","https://i.ytimg.com/vi/gcAIsQpzGIA/default.jpg","1633599","29372","528","0","7719","False","False","studiolululala|JTBC|스튜디오룰루랄라|룰루랄라|워크맨|직업리뷰|알바리뷰|알바썰|알바|직업|장성규|김민아|와썹맨|workman|job|wassupman|아르바이트|후기|알바후기|직업후기|소통|댓글읽기|가짜사나이|에뛰드|극한직업|이근|피지컬갤러리|리뷰","JOB것들아~~~♥ 인력소장이다,,,,~~~
오늘은,,, 알바가 다 취소돼서,,, 성규네 집으로 찾아갔다~~~ㅜㅜ
그동안,,~~ 우리 잡것들이 요청해준~~~ 알바 다 하기로 했으니까~~
앞으로도 워크맨,,~~ 많이 기대해줘라~~!!!
그리고,,, 건강이 최고인거,,~~ 알지~~? 아프면 호온난다,,~^^ㅋ 

세상의 모든 job것들을 리뷰한다 [워크맨]

▶ 매주 금 오후 6시 공개

#워크맨 #workman #장성규 #소통 #극한직업
#직업리뷰 #알바리뷰 #스튜디오룰루랄라"
"PFojpAijb3k","2020-09-12T06:17:56Z","20.14.09","UCF3UEVPt5zZTlBVJwDG317g","JTBC Voyage","[골라봐야지] 별♥하하 부부 등장! ＂어? 그럼 7년동안 3번 하신거네요?＂ 명사수 하하 루머의 진실♨ #1호가될순없어 #JTBC봐야지","24","https://i.ytimg.com/vi/PFojpAijb3k/default.jpg","1144893","7769","407","0","837","False","False","JTBC|JTBC voyage|jtbc봐야지|봐야지|이혼|결혼|부부|부부의 세계|개그맨 부부|개그맨 1호|박미선|장도연|팽현숙|최양락|김지혜|박준형|강재준|이은형|개그|gag|개그우먼|1호가 될 순 없어|number1|실제상황|리얼리티|reality|코미디언|개그판|리얼부부|이혼율|하하|별|haha|야만|드림이|쿤엔터테인먼트|사장님","마포구 사랑꾼 하하를
둘러싼 오해??! 썰 풉니다
 
1호가 될 순 없는 
이은형♡강재준의 
~리얼 부부 이야기~ 


[JTBC봐야지] 구독하기☞ http://asq.kr/VgFZ3

코미디언 부부들의 달콤♡ 살벌♨한 이야기↗

일요일 밤 10시 JTBC 〈1호가 될 순 없어〉

------------------------------------------------------
* 영상 속 프로그램은?

【1호가 될 순 없어】
http://tv.jtbc.joins.com/number1
------------------------------------------------------"
"0hQFW_yFtRY","2020-09-12T07:15:00Z","20.14.09","UCHpIHu4LzmNuD8bsE6mZLSA","영알남YAN","드디어 공개된 손흥민 요리스 싸움 녹취록 영어, 충격적이네요..","27","https://i.ytimg.com/vi/0hQFW_yFtRY/default.jpg","1935700","19821","1754","0","5945","False","False","손흥민 다큐|손흥민 스페셜|손흥민 반응|손흥민 요리스|손흥민 수비|손흥민 경기후|손흥민 눈물|손흥민 난투극|손흥민 레전드|토트넘 다큐|토트넘 경기|토트넘 경기후|토트넘 공식|토트넘 다큐멘터리|토트넘 다큐 손흥민|토트넘 반응|축구 하이라이트|축구 다큐|축구 싸움|축구 레전드|축구 스페셜|축구 경기|프리미어리그 하이라이트|프리미어리그 토트넘|프리미어리그 경기|프리미어리그 뉴스|프리미어리그 다큐","토트넘 다큐가 공개되면서 그날 있었던 전말에 대해 조금 더 자세히 알아보고 추측할 수 있게 되었습니다. 프로축구 세계에서는 이런 일이 흔하다고 하던데.. 자세히 알아보기 위해 지금 영상에서 확인하시죠!

항상 감사합니다. 정말 열심히 하겠습니다."
